Name,PM
Camponotus_bugnioni,0
Camponotus_camelinus,0
Camponotus_cameroni,0
Camponotus_candiotes,0
Camponotus_carbonarius,0
Camponotus_caryae,0
Camponotus_ceriseipes,0
Camponotus_chilensis,0
Camponotus_chloroticus,0
Camponotus_chrysurus,0
Camponotus_cinctellus,0
Camponotus_cingulatus,0
Camponotus_clarithorax,0
Camponotus_clypeatus,0
Camponotus_compressiscapus,0
Camponotus_congolensis,0
Camponotus_conicus,0
Camponotus_conspicuus,0
Camponotus_convexiclypeus,0
Camponotus_cristatus,0
Camponotus_crozieri,0
Camponotus_curviscapus,0
Camponotus_dalmaticus,0
Camponotus_decipiens,0
Camponotus_dentatus,0
Camponotus_depressus,0
Camponotus_detritus,0
Camponotus_devestivus,0
Camponotus_distinguendus,0
Camponotus_dolabratus,0
Camponotus_dolendus,0
Camponotus_donnellani,0
Camponotus_dorycus,0
Camponotus_dromas,0
Camponotus_eperiamorum,0
Camponotus_ephippium,0
Camponotus_esuriens,0
Camponotus_fabricator,0
Camponotus_fallax,0
Camponotus_fastigatus,0
Camponotus_fellah,0
Camponotus_festinus,0
Camponotus_fijianus,0
Camponotus_foleyi,0
Camponotus_foraminosus,0
Camponotus_foreli,0
Camponotus_fragilis,0
Camponotus_friedae,0
Camponotus_fulvopilosus,0
Camponotus_fuscocinctus,0
Camponotus_gallagheri,0
Camponotus_gasseri,0
Camponotus_gestroi,0
Camponotus_gilviventris,0
Camponotus_goeldii,0
Camponotus_gombaki,0
Camponotus_gouldi,0
Camponotus_gouldianus,0
Camponotus_grandidieri,0
Camponotus_guanchus,0
Camponotus_hannani,0
Camponotus_haroi,0
Camponotus_hartogi,0
Camponotus_hellmichi,0
Camponotus_herrichi,0
Camponotus_hoelldobleri,0
Camponotus_holosericeus,0
Camponotus_honaziensis,0
Camponotus_horseshoetus,0
Camponotus_hospes,0
Camponotus_hova,0
Camponotus_humerus,0
Camponotus_husseini,0
Camponotus_hyatti,0
Camponotus_incensus,0
Camponotus_indefessa,0
Camponotus_integellus,0
Camponotus_interjectus,0
Camponotus_invidus,0
Camponotus_irritans,0
Camponotus_itoi,0
Camponotus_iwoensis,0
Camponotus_janforrestae,0
Camponotus_jejuensis,0
Camponotus_kadi,0
Camponotus_keralensis,0
Camponotus_kiesenwetteri,0
Camponotus_kiusiuensis,0
Camponotus_kurdistanicus,0
Camponotus_laevigatus,0
Camponotus_lancifer,0
Camponotus_leonardi,0
Camponotus_ligniperda,0
Camponotus_lignitus,0
Camponotus_longipilis,0
Camponotus_macarangae,0
Camponotus_macilentus,0
Camponotus_mackayensis,0
Camponotus_macrocephalus,0
Camponotus_macromischoides,0
Camponotus_maculatus,0
Camponotus_marianensis,0
Camponotus_maritimus,0
Camponotus_melanoticus,0
Camponotus_melinus,0
Camponotus_mellea,0
Camponotus_merdicola,0
Camponotus_merula,0
Camponotus_micans,0
Camponotus_mirabilis,0
Camponotus_mitis,0
Camponotus_modoc,0
Camponotus_montivagus,0
Camponotus_morosus,0
Camponotus_mutilatus,0
Camponotus_natalensis,0
Camponotus_navigator,0
Camponotus_nawai,0
Camponotus_nearcticus,0
Camponotus_nicobarensis,0
Camponotus_nigriceps,0
Camponotus_nigrifrons,0
Camponotus_nipponensis,0
Camponotus_nipponicus,0
Camponotus_nitidior,0
Camponotus_novaeboracensis,0
Camponotus_nutans,0
Camponotus_nylanderi,0
Camponotus_oasium,0
Camponotus_obliquus,0
Camponotus_oblongus,0
Camponotus_obscuripes,0
Camponotus_olivieri,0
Camponotus_opaciventris,0
Camponotus_owensae,0
Camponotus_papago,0
Camponotus_parabarbatus,0
Camponotus_parius,0
Camponotus_peleliuensis,0
Camponotus_pellax,0
Camponotus_perjurus,0
Camponotus_pilicornis,0
Camponotus_planus,0
Camponotus_polymorphicus,0
Camponotus_pressipes,0
Camponotus_prosseri,0
Camponotus_punctulatus,0
Camponotus_pylartes,0
Camponotus_quadriceps,0
Camponotus_quadrinotatus,0
Camponotus_quadrisectus,0
Camponotus_quercicola,0
Camponotus_rapax,0
Camponotus_rectangularis,0
Camponotus_rectithorax,0
Camponotus_renggeri,0
Camponotus_reticulatus,0
Camponotus_robustus,0
Camponotus_ruber,0
Camponotus_rufifemur,0
Camponotus_rufifrons,0
Camponotus_rufoglaucus,0
Camponotus_rufonigrus,0
Camponotus_samius,0
Camponotus_sanctus,0
Camponotus_sannini,0
Camponotus_sansabeanus,0
Camponotus_santosi,0
Camponotus_saundersi,0
Camponotus_saussurei,0
Camponotus_saxatilis,0
Camponotus_sayi,0
Camponotus_schaefferi,0
Camponotus_schmitzi,0
Camponotus_senex,0
Camponotus_setosus,0
Camponotus_sexguttatus,0
Camponotus_sicheli,0
