generation,N_shifts,logPrior,logLik,eventRate,acceptRate
3440000,29,99.5551,-3374.62,17.0607,0.326467
3450000,37,118.218,-3372.63,21.8108,0.329767
3460000,28,101.691,-3377.88,12.6361,0.3425
3470000,36,124.182,-3382.25,14.2301,0.338033
3480000,28,94.5246,-3369.36,14.5217,0.33204
3490000,33,109.172,-3368.75,15.6521,0.342967
3500000,33,117.477,-3378.6,15.9084,0.3499
3510000,30,94.0325,-3381.11,15.8607,0.3309
3520000,25,79.5446,-3380.53,14.1288,0.328625
3530000,31,93.1809,-3368.74,13.5385,0.34105
3540000,31,97.0372,-3369.38,15.6156,0.3106
3550000,25,91.779,-3404.42,15.3136,0.329
3560000,27,82.9293,-3395.98,15.8408,0.32384
3570000,29,88.8966,-3393.49,16.9201,0.3176
3580000,28,84.1584,-3371.05,17.2587,0.32992
3590000,29,105.298,-3392.25,12.9472,0.3211
3600000,27,71.8244,-3389.97,16.6145,0.32935
3610000,23,84.0526,-3375.4,13.1277,0.3364
3620000,28,85.5565,-3371.35,14.6649,0.3088
3630000,30,109.182,-3381.8,16.4606,0.326725
3640000,30,111.219,-3379.11,11.1763,0.330533
3650000,33,122.809,-3356.31,17.361,0.3506
3660000,29,89.8739,-3374.07,20.2676,0.304125
3670000,27,91.3527,-3382.56,11.6049,0.303
3680000,30,106.812,-3386.98,17.939,0.331578
3690000,29,95.2998,-3374.81,18.2254,0.33085
3700000,29,101.175,-3369.44,14.5413,0.3167
3710000,30,96.1036,-3364.84,12.6817,0.3286
3720000,30,107.741,-3374.29,13.6732,0.338443
3730000,28,92.355,-3383.05,16.0286,0.33269
3740000,27,85.072,-3360.83,12.62,0.3136
3750000,34,104.259,-3374.73,17.4908,0.336967
3760000,29,86.1263,-3372.36,18.5594,0.343
3770000,38,132.221,-3364.7,14.4023,0.34975
3780000,32,105.534,-3371.44,20.3424,0.3502
3790000,34,109.069,-3359.04,24.386,0.332
3800000,36,112.502,-3371.72,19.6762,0.3508
3810000,26,80.047,-3359.55,13.3826,0.3292
3820000,32,116.355,-3378.26,12.6771,0.335056
3830000,29,101.082,-3376,16.9371,0.3435
3840000,26,93.152,-3386.35,9.71367,0.3215
3850000,27,97.8795,-3372.67,11.3753,0.331965
3860000,31,100.999,-3356.68,13.0251,0.339
3870000,30,105.165,-3352.75,15.7501,0.3148
3880000,30,103.822,-3345.06,12.3579,0.333167
3890000,30,105.044,-3362.54,23.6501,0.340233
3900000,26,97.8409,-3393.58,9.10494,0.325767
3910000,31,100.678,-3352.85,18.3317,0.331233
3920000,30,90.2027,-3370.18,14.5373,0.31745
3930000,31,109.457,-3357.72,15.2756,0.32405
3940000,32,101.425,-3376.83,15.4976,0.324375
3950000,28,97.0667,-3372.77,16.2941,0.3284
3960000,28,84.1485,-3386.29,14.0545,0.3253
3970000,32,97.352,-3363.38,15.7498,0.3297
3980000,28,96.3249,-3362.24,12.1072,0.3214
3990000,30,93.5663,-3376.05,17.8047,0.336157
4000000,30,104.963,-3371.52,12.5816,0.3178
4010000,24,69.3841,-3386.38,13.4866,0.31634
4020000,28,94.3542,-3373.74,19.59,0.328725
4030000,26,87.3347,-3359.85,14.7295,0.336633
4040000,27,97.6685,-3374.57,12.7183,0.3325
4050000,30,95.0377,-3377.84,15.8933,0.3281
4060000,34,111.018,-3355.07,18.3791,0.3435
4070000,29,90.4911,-3352.76,19.6002,0.3318
4080000,30,88.1181,-3352.04,17.4685,0.3318
4090000,37,106.948,-3387.8,26.4901,0.3369
4100000,30,90.9048,-3370.93,15.2476,0.327836
4110000,27,93.8427,-3390.63,16.5409,0.33068
4120000,32,123.123,-3396.44,11.8432,0.3339
4130000,30,96.4283,-3389.74,20.4035,0.362
4140000,33,107.152,-3375.36,17.0267,0.3668
4150000,31,103.717,-3356.44,18.9347,0.331745
4160000,31,106.551,-3360.01,18.4301,0.3423
4170000,29,93.7971,-3359.11,12.8529,0.316787
4180000,30,95.7817,-3373.08,12.6603,0.329833
4190000,30,98.1151,-3366.73,15.1196,0.3336
4200000,26,86.6585,-3388.57,14.0078,0.31367
4210000,27,88.2792,-3383.18,12.7724,0.3263
4220000,28,98.2797,-3362.12,12.6875,0.33075
4230000,36,127.422,-3357.98,18.0714,0.3399
4240000,31,99.3611,-3374.31,16.8486,0.32838
4250000,27,80.4257,-3381,15.1959,0.335025
4260000,29,86.3794,-3360.04,14.1867,0.3199
4270000,33,99.7725,-3365.05,18.8436,0.3116
4280000,30,85.5853,-3370.35,17.2971,0.3243
4290000,31,94.8136,-3355.76,18.7736,0.3168
4300000,33,105.528,-3362.6,16.0238,0.331763
4310000,26,90.4166,-3373.08,14.7655,0.329313
4320000,34,135.122,-3359.27,11.8107,0.33925
4330000,29,106.018,-3360.07,13.0279,0.3543
4340000,29,97.143,-3386.08,16.4636,0.327283
4350000,31,106.142,-3370.89,19.0812,0.329075
4360000,29,106.466,-3369.98,13.2867,0.323657
4370000,34,111.938,-3366.79,22.3352,0.34615
4380000,32,111.932,-3382.09,18.7699,0.31645
4390000,28,106.635,-3367.56,11.4004,0.33895
4400000,37,131.707,-3361.86,15.411,0.3548
4410000,33,102.245,-3387.26,21.0359,0.3461
4420000,29,102.836,-3385.24,15.8694,0.327886
4430000,33,107.223,-3359.15,19.0679,0.3343
4440000,31,106.076,-3361.49,18.9064,0.334033
4450000,28,92.5574,-3365.33,10.6566,0.3345
4460000,30,112.906,-3369.09,15.1018,0.34795
4470000,30,101.743,-3397.9,9.66852,0.330015
4480000,29,101.395,-3366.74,16.6692,0.323233
4490000,32,116.253,-3363.99,18.8577,0.3416
4500000,29,90.7405,-3365.69,15.3716,0.332788
4510000,34,119.022,-3368.45,13.3664,0.34712
4520000,29,104.62,-3366.72,14.0989,0.3161
4530000,29,100.373,-3372.35,10.1555,0.330333
4540000,29,100.339,-3357.02,14.3167,0.3127
4550000,32,106.203,-3376.56,25.8516,0.3486
4560000,30,102.13,-3363.91,17.7727,0.3474
4570000,27,96.4431,-3384.88,17.537,0.330683
4580000,26,87.0087,-3392.15,8.115,0.3224
4590000,29,86.9706,-3373.83,14.9375,0.3411
4600000,29,105.095,-3388.87,14.0922,0.3236
4610000,29,94.3661,-3373.8,15.7005,0.3127
4620000,28,94.983,-3387.62,19.7406,0.33506
4630000,28,91.8831,-3390.91,15.1801,0.323417
4640000,29,99.9529,-3362.36,14.593,0.332275
4650000,29,99.9307,-3347.94,11.3935,0.3461
4660000,31,108.665,-3373.64,10.2863,0.3237
4670000,25,79.1954,-3385.68,11.4829,0.3188
4680000,29,97.1439,-3374.91,14.9238,0.3232
4690000,31,101.336,-3352.04,15.0747,0.3505
4700000,34,106.965,-3351.89,26.2968,0.3644
4710000,30,107.723,-3361.68,15.7346,0.34325
4720000,40,139.189,-3356.03,15.0922,0.336745
4730000,33,104.364,-3348.22,15.1237,0.3375
4740000,31,95.8173,-3357.62,18.1038,0.341125
4750000,31,99.734,-3364.77,17.3443,0.3302
4760000,27,88.9768,-3374.73,10.5324,0.3124
4770000,25,83.2186,-3389.01,13.6883,0.339327
4780000,29,103.353,-3377.54,15.7627,0.343067
4790000,28,100.592,-3366.05,9.54352,0.315833
4800000,26,90.3666,-3365.36,11.7428,0.3351
4810000,23,74.9932,-3383.55,8.62792,0.32835
4820000,26,90.9363,-3368.38,10.6555,0.3178
